2005/1/4,0d,0,2.7393
2005/1/4,1m,0.08,2.7712
2005/1/4,2m,0.17,2.8029
2005/1/4,3m,0.25,2.8344
2005/1/4,6m,0.5,2.9278
2005/1/4,9m,0.75,3.0195
2005/1/4,1y,1,3.1095
2005/1/4,2y,2,3.4527
2005/1/4,3y,3,3.7687
2005/1/4,4y,4,4.0577
2005/1/4,5y,5,4.3195
2005/1/4,6y,6,4.5542
2005/1/4,7y,7,4.7618
2005/1/4,8y,8,4.9423
2005/1/4,9y,9,5.0958
2005/1/4,10y,10,5.2221
2005/1/4,15y,15,5.447
2005/1/4,20y,20,4.9944
2005/1/4,30y,30,2.0563
2005/1/5,0d,0,2.5691
2005/1/5,1m,0.08,2.5962
2005/1/5,2m,0.17,2.6232
2005/1/5,3m,0.25,2.6501
2005/1/5,6m,0.5,2.73
2005/1/5,9m,0.75,2.8089
2005/1/5,1y,1,2.8868
2005/1/5,2y,2,3.1881
2005/1/5,3y,3,3.473
2005/1/5,4y,4,3.7415
2005/1/5,5y,5,3.9936
2005/1/5,6y,6,4.2293
2005/1/5,7y,7,4.4487
2005/1/5,8y,8,4.6516
2005/1/5,9y,9,4.8382
2005/1/5,10y,10,5.0084
2005/1/5,15y,15,5.6134
2005/1/5,20y,20,5.8088
2005/1/5,30y,30,4.9705
2005/1/6,0d,0,2.4908
2005/1/6,1m,0.08,2.521
2005/1/6,2m,0.17,2.551
2005/1/6,3m,0.25,2.5809
2005/1/6,6m,0.5,2.6699
2005/1/6,9m,0.75,2.7577
2005/1/6,1y,1,2.8443
2005/1/6,2y,2,3.1788
2005/1/6,3y,3,3.4943
2005/1/6,4y,4,3.7908
2005/1/6,5y,5,4.0683
2005/1/6,6y,6,4.3268
2005/1/6,7y,7,4.5663
2005/1/6,8y,8,4.7867
2005/1/6,9y,9,4.9882
2005/1/6,10y,10,5.1707
2005/1/6,15y,15,5.7979
2005/1/6,20y,20,5.95
2005/1/6,30y,30,4.8289
2005/1/7,0d,0,2.3603
2005/1/7,1m,0.08,2.3918
2005/1/7,2m,0.17,2.4231
2005/1/7,3m,0.25,2.4542
2005/1/7,6m,0.5,2.5469
2005/1/7,9m,0.75,2.6384
2005/1/7,1y,1,2.7286
2005/1/7,2y,2,3.0772
2005/1/7,3y,3,3.406
2005/1/7,4y,4,3.715
2005/1/7,5y,5,4.0041
2005/1/7,6y,6,4.2735
2005/1/7,7y,7,4.5232
2005/1/7,8y,8,4.753
2005/1/7,9y,9,4.963
2005/1/7,10y,10,5.1533
2005/1/7,15y,15,5.8077
2005/1/7,20y,20,5.9674
2005/1/7,30y,30,4.8026
2005/1/10,0d,0,2.4315
2005/1/10,1m,0.08,2.4628
2005/1/10,2m,0.17,2.4939
2005/1/10,3m,0.25,2.5249
2005/1/10,6m,0.5,2.617
2005/1/10,9m,0.75,2.7079
2005/1/10,1y,1,2.7976
2005/1/10,2y,2,3.1438
2005/1/10,3y,3,3.4702
2005/1/10,4y,4,3.7767
2005/1/10,5y,5,4.0634
2005/1/10,6y,6,4.3302
2005/1/10,7y,7,4.5771
2005/1/10,8y,8,4.8042
2005/1/10,9y,9,5.0114
2005/1/10,10y,10,5.1988
2005/1/10,15y,15,5.8377
2005/1/10,20y,20,5.9803
2005/1/10,30y,30,4.776
2005/1/11,0d,0,2.427
2005/1/11,1m,0.08,2.4577
2005/1/11,2m,0.17,2.4882
2005/1/11,3m,0.25,2.5186
2005/1/11,6m,0.5,2.6091
2005/1/11,9m,0.75,2.6983
2005/1/11,1y,1,2.7864
2005/1/11,2y,2,3.1265
2005/1/11,3y,3,3.4474
2005/1/11,4y,4,3.749
2005/1/11,5y,5,4.0313
2005/1/11,6y,6,4.2943
2005/1/11,7y,7,4.538
2005/1/11,8y,8,4.7625
2005/1/11,9y,9,4.9677
2005/1/11,10y,10,5.1536
2005/1/11,15y,15,5.7939
2005/1/11,20y,20,5.9523
2005/1/11,30y,30,4.8231
2005/1/12,0d,0,2.4094
2005/1/12,1m,0.08,2.4404
2005/1/12,2m,0.17,2.4713
2005/1/12,3m,0.25,2.5021
