2006/1/4,0d,0,1.462
2006/1/4,1m,0.08,1.4797
2006/1/4,2m,0.17,1.4974
2006/1/4,3m,0.25,1.515
2006/1/4,6m,0.5,1.5673
2006/1/4,9m,0.75,1.619
2006/1/4,1y,1,1.67
2006/1/4,2y,2,1.8675
2006/1/4,3y,3,2.0546
2006/1/4,4y,4,2.2313
2006/1/4,5y,5,2.3975
2006/1/4,6y,6,2.5533
2006/1/4,7y,7,2.6986
2006/1/4,8y,8,2.8335
2006/1/4,9y,9,2.958
2006/1/4,10y,10,3.072
2006/1/4,15y,15,3.4857
2006/1/4,20y,20,3.6383
2006/1/4,30y,30,3.1609
2006/1/5,0d,0,1.5157
2006/1/5,1m,0.08,1.5315
2006/1/5,2m,0.17,1.5472
2006/1/5,3m,0.25,1.5628
2006/1/5,6m,0.5,1.6095
2006/1/5,9m,0.75,1.6556
2006/1/5,1y,1,1.7011
2006/1/5,2y,2,1.8783
2006/1/5,3y,3,2.0471
2006/1/5,4y,4,2.2077
2006/1/5,5y,5,2.36
2006/1/5,6y,6,2.504
2006/1/5,7y,7,2.6397
2006/1/5,8y,8,2.7671
2006/1/5,9y,9,2.8863
2006/1/5,10y,10,2.9971
2006/1/5,15y,15,3.4271
2006/1/5,20y,20,3.6498
2006/1/5,30y,30,3.4738
2006/1/6,0d,0,1.4556
2006/1/6,1m,0.08,1.4733
2006/1/6,2m,0.17,1.4909
2006/1/6,3m,0.25,1.5084
2006/1/6,6m,0.5,1.5606
2006/1/6,9m,0.75,1.6121
2006/1/6,1y,1,1.663
2006/1/6,2y,2,1.8605
2006/1/6,3y,3,2.0481
2006/1/6,4y,4,2.2259
2006/1/6,5y,5,2.3937
2006/1/6,6y,6,2.5517
2006/1/6,7y,7,2.6998
2006/1/6,8y,8,2.838
2006/1/6,9y,9,2.9664
2006/1/6,10y,10,3.0848
2006/1/6,15y,15,3.529
2006/1/6,20y,20,3.7262
2006/1/6,30y,30,3.3796
2006/1/9,0d,0,1.4482
2006/1/9,1m,0.08,1.4656
2006/1/9,2m,0.17,1.483
2006/1/9,3m,0.25,1.5003
2006/1/9,6m,0.5,1.5518
2006/1/9,9m,0.75,1.6027
2006/1/9,1y,1,1.6531
2006/1/9,2y,2,1.8483
2006/1/9,3y,3,2.0339
2006/1/9,4y,4,2.2099
2006/1/9,5y,5,2.3762
2006/1/9,6y,6,2.5329
2006/1/9,7y,7,2.68
2006/1/9,8y,8,2.8174
2006/1/9,9y,9,2.9452
2006/1/9,10y,10,3.0634
2006/1/9,15y,15,3.5095
2006/1/9,20y,20,3.7147
2006/1/9,30y,30,3.4023
2006/1/10,0d,0,1.4402
2006/1/10,1m,0.08,1.4575
2006/1/10,2m,0.17,1.4748
2006/1/10,3m,0.25,1.492
2006/1/10,6m,0.5,1.5431
2006/1/10,9m,0.75,1.5937
2006/1/10,1y,1,1.6436
2006/1/10,2y,2,1.8375
2006/1/10,3y,3,2.022
2006/1/10,4y,4,2.1969
2006/1/10,5y,5,2.3624
2006/1/10,6y,6,2.5184
2006/1/10,7y,7,2.6649
2006/1/10,8y,8,2.802
2006/1/10,9y,9,2.9295
2006/1/10,10y,10,3.0476
2006/1/10,15y,15,3.4959
2006/1/10,20y,20,3.7072
2006/1/10,30y,30,3.4189
2006/1/11,0d,0,1.3842
2006/1/11,1m,0.08,1.4024
2006/1/11,2m,0.17,1.4206
2006/1/11,3m,0.25,1.4387
2006/1/11,6m,0.5,1.4927
2006/1/11,9m,0.75,1.546
2006/1/11,1y,1,1.5986
2006/1/11,2y,2,1.8029
2006/1/11,3y,3,1.9968
2006/1/11,4y,4,2.1806
2006/1/11,5y,5,2.354
2006/1/11,6y,6,2.5173
2006/1/11,7y,7,2.6703
2006/1/11,8y,8,2.813
2006/1/11,9y,9,2.9456
2006/1/11,10y,10,3.0678
2006/1/11,15y,15,3.5255
2006/1/11,20y,20,3.7271
2006/1/11,30y,30,3.3619
2006/1/12,0d,0,1.4125
2006/1/12,1m,0.08,1.4304
2006/1/12,2m,0.17,1.4482
2006/1/12,3m,0.25,1.4659
2006/1/12,6m,0.5,1.5186
2006/1/12,9m,0.75,1.5707
2006/1/12,1y,1,1.6221
2006/1/12,2y,2,1.8214
2006/1/12,3y,3,2.0104
2006/1/12,4y,4,2.189
2006/1/12,5y,5,2.3572
